id,date,title,type,typeLabel,description,image,icon,link,images
join,2025-09-23,加入 SNH48 二十三期生,milestone,里程碑,"2025年9月23日，陈嘉仪正式加入 SNH48 二十三期生。个人特长是反射弧特长，身高166cm，爱好看国漫、唱歌跳舞、最喜欢看舞团练习室视频、玩游戏。星座摩羯座，生日1月10日。所属上海丝芭文化传媒集团有限公司。",https://www.snh48.com/images/member/gs4_10344_1.jpg,fa-star,https://www.snh48.com/mobile/member-detail.html?sid=10344&gid=1,https://www.snh48.com/images/member/gs4_10344_1.jpg;https://www.snh48.com/images/member/gs4_10344_2.jpg;https://www.snh48.com/images/member/gs4_10344_3.jpg;https://www.snh48.com/images/member/gs4_10344_4.jpg
mini-live,2026-11-06,Mini Live,show,Live,Mini Live！,,fa-microphone,,
